Date,Open,High,Low,Close ,Adj Close ,Volume
5-Dec-24,189.02,189.02,185.85,186.24,184.73,"6,398,100"
4-Dec-24,188,189.79,185.9,188.19,186.66,"8,906,300"
3-Dec-24,181.18,183.04,179.11,182.89,181.4,"8,917,100"
2-Dec-24,185.29,185.29,181,181.41,179.94,"8,859,700"
29-Nov-24,184.01,185.93,184,184.84,183.34,"4,628,000"
27-Nov-24,188.96,188.96,182.22,182.7,181.21,"8,368,800"
26-Nov-24,188.32,192.4,188.32,190.37,188.82,"6,427,200"
25-Nov-24,194.5,194.75,187.99,187.99,186.46,"15,138,500"
22-Nov-24,193,194.2,191.06,192.29,190.73,"6,879,400"
21-Nov-24,191.94,196.04,191.64,192.43,190.87,"11,394,300"
20-Nov-24,190.9,190.97,187.82,190.75,189.2,"4,860,200"
19-Nov-24,184.89,189.32,184.32,188.9,187.36,"8,117,000"
18-Nov-24,184.3,186.18,182.88,185.73,184.22,"6,289,400"
15-Nov-24,184.52,185.8,182.33,183.74,182.25,"8,986,300"
14-Nov-24,188.66,189.59,186.71,187.05,185.53,"7,804,300"
13-Nov-24,189,191.77,188.79,189.63,188.09,"5,695,400"
12-Nov-24,188.54,190.61,187.2,189.58,188.04,"6,629,900"
11-Nov-24,191.05,191.5,187.84,189.13,187.59,"5,973,600"
8-Nov-24,186.26,190.16,186.26,189.25,187.71,"8,520,400"
7-Nov-24,181.08,186.67,180.54,186.37,184.85,"7,759,400"
6-Nov-24,178.52,182.1,177.42,181.24,179.77,"11,085,000"
5-Nov-24,170.47,171.89,170.32,171.78,170.38,"5,456,800"
4-Nov-24,170.31,170.48,168.73,169.59,168.21,"4,804,400"
1-Nov-24,170.15,172.27,169.1,170.02,168.64,"5,680,600"
31-Oct-24,170.52,170.88,167.4,167.84,166.48,"9,477,500"
30-Oct-24,173.98,176.16,172.79,174.56,173.14,"5,822,500"
29-Oct-24,172.29,174.02,172.29,173.43,172.02,"4,122,900"
28-Oct-24,174.05,174.17,172.14,172.42,171.02,"4,330,000"
25-Oct-24,174.78,176.29,173.1,173.52,172.11,"3,674,700"
24-Oct-24,173.32,174.95,172.91,174.38,172.96,"3,488,000"
23-Oct-24,174.5,176.07,173.01,173.1,171.69,"4,830,400"
22-Oct-24,175.45,175.85,174.28,175.31,173.88,"5,510,100"
21-Oct-24,174.45,175.15,173.16,173.76,172.35,"4,198,400"
18-Oct-24,176.8,176.97,174.58,174.69,173.27,"5,001,300"
17-Oct-24,177.5,177.75,175.14,175.68,174.25,"5,474,000"
16-Oct-24,173.5,174.91,171.64,174.77,173.35,"6,383,000"
15-Oct-24,176.94,178.22,173.75,174.09,172.67,"5,848,600"
14-Oct-24,176.55,177.22,175.5,176.12,174.69,"4,688,700"
11-Oct-24,175.5,177,174.4,175.77,174.34,"5,869,400"
10-Oct-24,177.65,178.3,174.18,175.41,173.98,"7,115,900"
9-Oct-24,174.56,178.61,173.81,178.29,176.44,"8,120,900"
8-Oct-24,170.6,174.64,170.44,174.37,172.56,"7,845,400"
7-Oct-24,170.42,172.33,169.55,169.97,168.21,"6,791,000"
4-Oct-24,168.71,170.9,168.17,170.86,169.09,"6,386,900"
3-Oct-24,166.89,167.86,166.24,166.86,165.13,"4,735,700"
2-Oct-24,167.6,169.18,167.27,167.71,165.97,"7,073,000"
1-Oct-24,170.22,170.51,165.97,167.16,165.43,"7,595,100"
30-Sep-24,169.5,170.52,166.45,170.4,168.64,"10,210,300"
27-Sep-24,168.09,169.11,166.51,168.74,166.99,"8,974,400"
26-Sep-24,167.65,168.36,166.48,168.1,166.36,"7,096,800"
25-Sep-24,167.69,168.75,165.66,166.28,164.56,"7,142,400"
24-Sep-24,165.74,166.1,163.92,165.8,164.08,"6,155,100"
23-Sep-24,167.23,167.33,164.26,165.95,164.23,"7,916,100"
20-Sep-24,167.13,168.83,166.6,168,166.26,"12,187,700"
